C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:120 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:129 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:141 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:147 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:156 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:168 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:174 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:183 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:195 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:201 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:210 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:222 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:228 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:237 SL:247
C7AB  29 80     AND #$80                        A:10 X:FF Y:00 P:24 SP:FF CYC:249 SL:247
C7AD  F0 F9     BEQ $C7A8                       A:00 X:FF Y:00 P:26 SP:FF CYC:255 SL:247
C7A8  AD 02 20  LDA $2002 = FF                  A:00 X:FF Y:00 P:26 SP:FF CYC:264 SL:247
